datetime,open
2022-06-13 09:00:00,4260.0
2022-06-14 09:00:00,4300.0
2022-06-15 09:00:00,4360.0
2022-06-16 09:00:00,4420.0
2022-06-17 09:00:00,4370.0
2022-06-20 09:00:00,4400.0
2022-06-21 09:00:00,4430.0
2022-06-22 09:00:00,4410.0
2022-06-23 09:00:00,4300.0
2022-06-24 09:00:00,4320.0
2022-06-27 09:00:00,4310.0
2022-06-28 09:00:00,4320.0
2022-06-29 09:00:00,4280.0
2022-06-30 09:00:00,4120.0
2022-07-01 09:00:00,4150.0
2022-07-04 09:00:00,4090.0
2022-07-05 09:00:00,4040.0
2022-07-06 09:00:00,4050.0
2022-07-07 09:00:00,4040.0
2022-07-08 09:00:00,4090.0
2022-07-11 09:00:00,4150.0
2022-07-12 09:00:00,4120.0
2022-07-13 09:00:00,4110.0
2022-07-14 09:00:00,4010.0
2022-07-15 09:00:00,4060.0
2022-07-18 09:00:00,4110.0
2022-07-19 09:00:00,4150.0
2022-07-20 09:00:00,4180.0
2022-07-21 09:00:00,4300.0
2022-07-22 09:00:00,4330.0
2022-07-25 09:00:00,4250.0
2022-07-26 09:00:00,4270.0
2022-07-27 09:00:00,4380.0
2022-07-28 09:00:00,4340.0
2022-07-29 09:00:00,4390.0
2022-08-01 09:00:00,4390.0
2022-08-02 09:00:00,4360.0
2022-08-03 09:00:00,4410.0
2022-08-04 09:00:00,4380.0
2022-08-05 09:00:00,4360.0
2022-08-08 09:00:00,4360.0
2022-08-09 09:00:00,4400.0
2022-08-10 09:00:00,4350.0
2022-08-11 09:00:00,4380.0
2022-08-12 09:00:00,4340.0
2022-08-15 09:00:00,4330.0
2022-08-16 09:00:00,4350.0
2022-08-18 09:00:00,4330.0
2022-08-19 09:00:00,4340.0
2022-08-22 09:00:00,4320.0
2022-08-23 09:00:00,4260.0
2022-08-24 09:00:00,4300.0
2022-08-25 09:00:00,4280.0
2022-08-26 09:00:00,4280.0
2022-08-29 09:00:00,4250.0
2022-08-30 09:00:00,4250.0
2022-08-31 09:00:00,4250.0
2022-09-01 09:00:00,4320.0
2022-09-02 09:00:00,4410.0
2022-09-05 09:00:00,4430.0
2022-09-06 09:00:00,4670.0
2022-09-07 09:00:00,4510.0
2022-09-08 09:00:00,4480.0
2022-09-09 09:00:00,4640.0
2022-09-12 09:00:00,4610.0
2022-09-13 09:00:00,4560.0
2022-09-14 09:00:00,4520.0
2022-09-15 09:00:00,4600.0
2022-09-16 09:00:00,4610.0
2022-09-19 09:00:00,4520.0
2022-09-20 09:00:00,4570.0
2022-09-21 09:00:00,4490.0
2022-09-22 09:00:00,4500.0
2022-09-23 09:00:00,4540.0
2022-09-26 09:00:00,4480.0
2022-09-27 09:00:00,4500.0
2022-09-28 09:00:00,4510.0
2022-09-29 09:00:00,4520.0
2022-09-30 09:00:00,4450.0
2022-10-03 09:00:00,4500.0
2022-10-04 09:00:00,4560.0
2022-10-05 09:00:00,4660.0
2022-10-06 09:00:00,4540.0
2022-10-07 09:00:00,4480.0
2022-10-10 09:00:00,4420.0
2022-10-11 09:00:00,4390.0
2022-10-12 09:00:00,4470.0
2022-10-13 09:00:00,4390.0
2022-10-14 09:00:00,4380.0
2022-10-17 09:00:00,4270.0
2022-10-18 09:00:00,4280.0
2022-10-19 09:00:00,4280.0
2022-10-20 09:00:00,4280.0
2022-10-21 09:00:00,4360.0
2022-10-24 09:00:00,4430.0
2022-10-25 09:00:00,4560.0
2022-10-26 09:00:00,4600.0
2022-10-27 09:00:00,4550.0
2022-10-28 09:00:00,4600.0
2022-10-31 09:00:00,4630.0
2022-11-01 09:00:00,4690.0
2022-11-02 09:00:00,4680.0
2022-11-03 09:00:00,4630.0
2022-11-04 09:00:00,4650.0
2022-11-07 09:00:00,4650.0
2022-11-08 09:00:00,4690.0
2022-11-09 09:00:00,4600.0
2022-11-10 09:00:00,4560.0
2022-11-11 09:00:00,4620.0
2022-11-14 09:00:00,4620.0
2022-11-15 09:00:00,4580.0
2022-11-16 09:00:00,4590.0
2022-11-17 09:00:00,4520.0
2022-11-18 09:00:00,4670.0
2022-11-21 09:00:00,4620.0
2022-11-22 09:00:00,4570.0
2022-11-23 09:00:00,4640.0
2022-11-24 09:00:00,4700.0
2022-11-25 09:00:00,4700.0
2022-11-28 09:00:00,4730.0
2022-11-29 09:00:00,4820.0
2022-11-30 09:00:00,4810.0
2022-12-01 09:00:00,5000.0
2022-12-02 09:00:00,4900.0
2022-12-05 09:00:00,4910.0
2022-12-06 09:00:00,4860.0
2022-12-07 09:00:00,4840.0
2022-12-08 09:00:00,4760.0
2022-12-09 09:00:00,4830.0
2022-12-12 09:00:00,4800.0
2022-12-13 09:00:00,4870.0
2022-12-14 09:00:00,5000.0
2022-12-15 09:00:00,4900.0
2022-12-16 09:00:00,4820.0
2022-12-19 09:00:00,4970.0
2022-12-20 09:00:00,4930.0
2022-12-21 09:00:00,4910.0
2022-12-22 09:00:00,4910.0
2022-12-23 09:00:00,4920.0
2022-12-26 09:00:00,4900.0
2022-12-27 09:00:00,4930.0
2022-12-28 09:00:00,4870.0
2022-12-29 09:00:00,4820.0
2022-12-30 09:00:00,4870.0
2023-01-02 09:00:00,4910.0
2023-01-03 09:00:00,4830.0
2023-01-04 09:00:00,4850.0
2023-01-05 09:00:00,4750.0
2023-01-06 09:00:00,4550.0
